web-scraper-order,web-scraper-start-url,Titre,Etat_Clim,Adresse,Prix,url,url-href,url_image-src
"1738160354-70","https://www.expat-dakar.com/climatisation","SPLIT 18000BTU HISENSE INVERTER  2CV","Neuf","Plateau,
                                                                                Dakar","329 000 F Cfa","SPLIT 18000BTU HISENSE INVERTER  2CV
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. janv., 12:51
                                    
                    329 000 F Cfa
                        
                        783860578","https://www.expat-dakar.com/annonce/split-18000btu-hisense-inverter-2cv-5784375","https://i.roamcdn.net/hz/ed/listing-thumb-543w/29c3aabcc43d27a29c8821bea5292222/-/horizon-files-prod/ed/picture/q44d95n8/d779122386c6dd49277512fba816ef1a37b1dc18.jpg"
"1738160375-71","https://www.expat-dakar.com/climatisation","VENTILATEUR ROCH SUR PIED NOIR DORE","Neuf","Plateau,
                                                                                Dakar","26 000 F Cfa","VENTILATEUR ROCH SUR PIED NOIR DORE
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. janv., 13:32
                                    
                    26 000 F Cfa
                        
                        783050985","https://www.expat-dakar.com/annonce/ventilateur-roch-sur-pied-noir-dore-5786040","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d59eac17b4a7b993aacfdc583c0f3178/-/horizon-files-prod/ed/picture/qdewq2z8/7f35c9c1cdaf544ec62dac38f6feba81174234de.jpg"
"1738160395-72","https://www.expat-dakar.com/climatisation","SPLIT 3CV SKAGGU 24000BTU R410","Neuf","Plateau,
                                                                                Dakar","319 000 F Cfa","SPLIT 3CV SKAGGU 24000BTU R410
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. janv., 13:30
                                    
                    319 000 F Cfa
                        
                        783050985","https://www.expat-dakar.com/annonce/split-3cv-skaggu-24000btu-r410-5792145","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a514b292dacf5884ce530607a19dad43/-/horizon-files-prod/ed/picture/q787qnjx/3acb6dd006aeb8d3feffa7aa8e297900e65443a8.jpg"
"1738160415-73","https://www.expat-dakar.com/climatisation","SPLIT 3CV CAC 24000BTU R410","Neuf","Plateau,
                                                                                Dakar","319 000 F Cfa","SPLIT 3CV CAC 24000BTU R410
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        9. janv., 16:30
                                    
                    319 000 F Cfa
                        
                        774714823","https://www.expat-dakar.com/annonce/split-3cv-cac-24000btu-r410-5792149","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6b929bf749c2af894494c500b68f64a3/-/horizon-files-prod/ed/picture/qngdvr9z/0b9ec1fd144915555d672b42c55b5985632bac12.jpg"
"1738160436-74","https://www.expat-dakar.com/climatisation","SPLIT 3CV HAIER 24000BTU R410","Neuf","Plateau,
                                                                                Dakar","329 000 F Cfa","SPLIT 3CV HAIER 24000BTU R410
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. janv., 12:48
                                    
                    329 000 F Cfa
                        
                        783860578","https://www.expat-dakar.com/annonce/split-3cv-haier-24000btu-r410-5792150","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d8a45b2b2bfa661f01e21b649e439f6c/-/horizon-files-prod/ed/picture/qwezxqr5/723bced6dca902736ac604deee9015ccaa216ccf.jpg"
"1738160456-75","https://www.expat-dakar.com/climatisation","SPLIT 3CV ROCH 24000BTU R410","Neuf","Plateau,
                                                                                Dakar","329 000 F Cfa","SPLIT 3CV ROCH 24000BTU R410
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        mercredi, 13:42
                                    
                    329 000 F Cfa
                        
                        768882180","https://www.expat-dakar.com/annonce/split-3cv-roch-24000btu-r410-5792152","https://i.roamcdn.net/hz/ed/listing-thumb-543w/93f1db70ea686cc6a3a765f83b2d9b44/-/horizon-files-prod/ed/picture/q8vz8qmr/0634e8a07c3bc78531252e6732242627b751acf0.jpg"
"1738160477-76","https://www.expat-dakar.com/climatisation","SPLIT 3CV ELACTRON 24000BTU R410","Neuf","Plateau,
                                                                                Dakar","349 000 F Cfa","SPLIT 3CV ELACTRON 24000BTU R410
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        lundi, 14:02
                                    
                    349 000 F Cfa
                        
                        770723466","https://www.expat-dakar.com/annonce/split-3cv-elactron-24000btu-r410-5792154","https://i.roamcdn.net/hz/ed/listing-thumb-543w/629ad9ec690649301e93d31f1bfef461/-/horizon-files-prod/ed/picture/qrzqwdrx/468469fd2d750503f30ca1ca03394b7bea6db8e9.jpg"
"1738160497-77","https://www.expat-dakar.com/climatisation","SPLIT 3CV ASTECH 24000BTU R410","Neuf","Plateau,
                                                                                Dakar","339 000 F Cfa","SPLIT 3CV ASTECH 24000BTU R410
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        11. janv., 14:20
                                    
                    339 000 F Cfa
                        
                        784626090
                    
                        784626090","https://www.expat-dakar.com/annonce/split-3cv-astech-24000btu-r410-5792567","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6f2a1f0c304a33900f3c6bbe55e7e0c6/-/horizon-files-prod/ed/picture/q7876v7m/211868663ca5240153c88d396f01e6c1d0b32039.jpg"
"1738160518-78","https://www.expat-dakar.com/climatisation","SPLIT 3CV TCL 24000BTU R410","Neuf","Plateau,
                                                                                Dakar","359 000 F Cfa","SPLIT 3CV TCL 24000BTU R410
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        mercredi, 19:22
                                    
                    359 000 F Cfa
                        
                        777510319
                    
                        777510319","https://www.expat-dakar.com/annonce/split-3cv-tcl-24000btu-r410-5792579","https://i.roamcdn.net/hz/ed/listing-thumb-543w/770e4b813c562113c51a4b4abfb323d7/-/horizon-files-prod/ed/picture/qgqg659q/49b86036fd1e550782fcc03325beceafa412ed32.jpg"
"1738160538-79","https://www.expat-dakar.com/climatisation","SPLIT 3CV INVERTER BELLYAIR 24000BTU A+++","Neuf","Plateau,
                                                                                Dakar","359 000 F Cfa","SPLIT 3CV INVERTER BELLYAIR 24000BTU A+++
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        12. janv., 19:10
                                    
                    359 000 F Cfa
                        
                        776096472
                    
                        776096472","https://www.expat-dakar.com/annonce/split-3cv-inverter-bellyair-24000btu-a-5792590","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8cb43c449e340df8301bc1334b6db341/-/horizon-files-prod/ed/picture/qv4pjme5/7fc737650e6e96ba5dcb27e9c6b22e2eec174c57.jpg"
