web-scraper-order,web-scraper-start-url,Titre,Etat_machine,Adresse,Prix,url,url-href,url_image-src
"1738242753-222","https://www.expat-dakar.com/machines-a-laver","LAVE VAISSELLE HISENSE 13COUVERTS GRIS HS622E90G","Neuf","Plateau,
                                                                                Dakar","229 000 F Cfa","LAVE VAISSELLE HISENSE 13COUVERTS GRIS HS622E90G
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        27. déc. '24, 12:59
                                    
                    229 000 F Cfa
                        
                        776862827","https://www.expat-dakar.com/annonce/lave-vaisselle-hisense-13couverts-gris-hs622e90g-6243107","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4a695359f63da46f67c7897ba3507d0d/-/horizon-files-prod/ed/picture/qq42x9pk/f9268921e7f8fececd42ef071b043105e80fcd62.jpg"
"1738242779-223","https://www.expat-dakar.com/machines-a-laver","LAVE VAISSELLE CANDY ENCASTRABLE 13 COUVERTS GRIS","Neuf","Plateau,
                                                                                Dakar","219 000 F Cfa","LAVE VAISSELLE CANDY ENCASTRABLE 13 COUVERTS GRIS
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        jeudi, 12:41
                                    
                    219 000 F Cfa
                        
                        783050985","https://www.expat-dakar.com/annonce/lave-vaisselle-candy-encastrable-13-couverts-gris-6243110","https://i.roamcdn.net/hz/ed/listing-thumb-543w/39761825d668be537697f5a0e01775b1/-/horizon-files-prod/ed/picture/qrz8mndx/f958abf1cdcc553ee1efff2fc25fe66755253ca8.jpg"
"1738242805-224","https://www.expat-dakar.com/machines-a-laver","LAVE VAISSELLE HAIER 15COUVERTS GRIS CLAIR HBWE15366SS1QA","Neuf","Plateau,
                                                                                Dakar","269 000 F Cfa","LAVE VAISSELLE HAIER 15COUVERTS GRIS CLAIR HBWE15366SS1QA
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        27. déc. '24, 13:04
                                    
                    269 000 F Cfa
                        
                        783632593","https://www.expat-dakar.com/annonce/lave-vaisselle-haier-15couverts-gris-clair-hbwe15366ss1qa-6243111","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7593baac2a147d19980dfda56ae0e10c/-/horizon-files-prod/ed/picture/qxjp9g4v/745d96b2ae890fd98f4bed53f44eca0fd616939a.jpg"
"1738242831-225","https://www.expat-dakar.com/machines-a-laver","MACHINE À LAVER 7KG HISENSE SEMI-AUTOMATIQUE","Neuf","Plateau,
                                                                                Dakar","119 000 F Cfa","MACHINE À LAVER 7KG HISENSE SEMI-AUTOMATIQUE
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        27. déc. '24, 13:08
                                    
                    119 000 F Cfa
                        
                        783860578","https://www.expat-dakar.com/annonce/machine-a-laver-7kg-hisense-semi-automatique-6243115","https://i.roamcdn.net/hz/ed/listing-thumb-543w/59ef2229fea98c0b5d2b170d83add13f/-/horizon-files-prod/ed/picture/qj4q9pvv/5b606e8421617456c5541bd8ea396079977a31e8.jpg"
"1738242857-226","https://www.expat-dakar.com/machines-a-laver","LAVE VAISSELLE SAMSUNG 14COUVERTS GRIS DW60CG550FSR","Neuf","Plateau,
                                                                                Dakar","349 000 F Cfa","LAVE VAISSELLE SAMSUNG 14COUVERTS GRIS DW60CG550FSR
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        27. déc. '24, 13:11
                                    
                    349 000 F Cfa
                        
                        781066640
                    
                        781066640","https://www.expat-dakar.com/annonce/lave-vaisselle-samsung-14couverts-gris-dw60cg550fsr-6243119","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6716042ce27cab944f4f4a3843219eb2/-/horizon-files-prod/ed/picture/q56dqrwx/e22b08393cc6521f304c98d7e06ae368bea0a42d.jpg"
"1738242867-227","https://www.expat-dakar.com/machines-a-laver","MACHINE À LAVER 6KG ROCH A+++ GRIS RMW60SH","Neuf","Plateau,
                                                                                Dakar","179 000 F Cfa","MACHINE À LAVER 6KG ROCH A+++ GRIS RMW60SH
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        27. déc. '24, 13:14
                                    
                    179 000 F Cfa
                        
                        767335517","https://www.expat-dakar.com/annonce/machine-a-laver-6kg-roch-a-gris-rmw60sh-6243121","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6ce3775c899bb662be0f904634ea6b7e/-/horizon-files-prod/ed/picture/qzvpwr28/8ec291ded81adcda5904a3f3150ce018f44adfc4.jpg"
"1738242887-228","https://www.expat-dakar.com/machines-a-laver","MACHINE À LAVER 9KG ROCH INVERTER A+++ GRIS RWM90SIH","Neuf","Plateau,
                                                                                Dakar","229 000 F Cfa","MACHINE À LAVER 9KG ROCH INVERTER A+++ GRIS RWM90SIH
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        27. déc. '24, 13:19
                                    
                    229 000 F Cfa
                        
                        768882180","https://www.expat-dakar.com/annonce/machine-a-laver-9kg-roch-inverter-a-gris-rwm90sih-6243129","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1f503114557145710d478f45b74d5716/-/horizon-files-prod/ed/picture/qq42xwqk/fc1e743f34e8b7ebb919a1ba00d970745568f656.jpg"
"1738242909-229","https://www.expat-dakar.com/machines-a-laver","Machine à laver 7kg en bon etat","D'occasion","Guediawaye,
                                                                                Dakar","150 000 F Cfa","Machine à laver 7kg en bon etat
                                D'occasion
                                                                                    Guediawaye,
                                                                                Dakar
                                    
                                        5. janv., 12:04
                                    
                    150 000 F Cfa
                        
                        783686461","https://www.expat-dakar.com/annonce/machine-a-laver-7kg-en-bon-etat-6247607","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c2ec8136b69832b1358af2161e1c8b2a/-/horizon-files-prod/ed/picture/qq42xr97/6525529bb8b757a35d3efda29d8d8ff00ad2235e.jpg"
"1738242928-230","https://www.expat-dakar.com/machines-a-laver","MACHINE À LAVER HISENSE 6kg","Neuf","Almadies,
                                                                                Dakar","180 000 F Cfa","MACHINE À LAVER HISENSE 6kg
                                Neuf
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        7. janv., 18:35
                                    
                    180 000 F Cfa
                        
                        776282214","https://www.expat-dakar.com/annonce/machine-a-laver-hisense-6kg-6248837","https://i.roamcdn.net/hz/ed/listing-thumb-543w/51cad6798bc37eaa95ab530423364a98/-/horizon-files-prod/ed/picture/qj4q9kk4/c755b30bdc539eb7407fd99a2d9d9363dec66b21.jpg"
"1738242948-231","https://www.expat-dakar.com/machines-a-laver","MACHINE À LAVER FINIX9 KG A+++ électroménager","Neuf","Plateau,
                                                                                Dakar","280 000 F Cfa","MACHINE À LAVER FINIX9 KG A+++ électroménager
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        7. janv., 13:39
                                    
                                            Vendeur vérifié
                                        
            245 000 F Cfa
        
                    280 000 F Cfa
                        
            Économisez 12.5%
        
                        775267261","https://www.expat-dakar.com/annonce/machine-a-laver-finix9-kg-a-electromenager-3209057","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c2701dfd6a78ae85527c638b1d1c787f/-/horizon-files-prod/ed/picture/qgkrdpm/20da10f9eceb7e85391017ab27deec07528e9c32.jpg"
